ID,Make,Model,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
85,Maruti Suzuki,Swift DZire VXI,2016,74000,Petrol,Manual,Ranchi,White,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1695.0,1555.0,5.0,42.0
1535,Ford,Figo Duratorq Diesel Titanium 1.4,2010,72000,Diesel,Manual,Hyderabad,White,First,Individual,1399 cc,69@4000,160@2000,FWD,3795.0,1680.0,1427.0,5.0,45.0
1049,Hyundai,Verna Fluidic 1.6 CRDi SX,2013,107000,Diesel,Manual,Chandigarh,White,First,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4370.0,1700.0,1475.0,5.0,43.0
1095,Toyota,Innova 2.4 VX 7 STR [2016-2020],2017,75000,Diesel,Manual,Varanasi,White,Second,Individual,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD,4735.0,1830.0,1795.0,7.0,55.0
1017,Honda,City VX (O) MT,2019,56881,Petrol,Manual,Lucknow,Silver,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
604,Land Rover,Evoque SE R-Dynamic,2021,35000,Diesel,Automatic,Delhi,Beige,First,Individual,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD,4371.0,1996.0,1649.0,5.0,66.5
31,Isuzu,MU-X 4x2,2017,96095,Diesel,Automatic,Thane,Silver,First,Individual,2999 cc,174 bhp @ 3600 rpm,380 Nm @ 1800 rpm,RWD,4825.0,1860.0,1840.0,7.0,65.0
1186,Mahindra,Scorpio S5 2WD 7 STR,2020,35000,Diesel,Manual,Patna,White,First,Individual,2179 cc,120 bhp @ 4000 rpm,280 Nm @ 1800 rpm,RWD,4456.0,1820.0,1995.0,7.0,60.0
942,Tata,Tiago Revotron XZA,2018,20000,Petrol,Automatic,Mumbai,Red,First,Individual,1199 cc,84 bhp @ 6000 rpm,114 Nm @ 3500 rpm,FWD,3746.0,1647.0,1535.0,5.0,35.0
1328,Maruti Suzuki,Baleno Alpha 1.3,2017,61000,Diesel,Manual,Surat,Orange,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
1508,BMW,X1 xDrive20d M Sport,2017,75000,Diesel,Automatic,Coimbatore,White,Second,Individual,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,AWD,4439.0,1821.0,1612.0,5.0,51.0
323,Honda,Brio S MT,2016,50374,Petrol,Manual,Vadodara,White,First,Individual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3610.0,1680.0,1500.0,5.0,35.0
1403,Mahindra,Scorpio S11 4WD 7 STR,2018,68000,Diesel,Manual,Ludhiana,White,Second,Individual,2179 cc,140 bhp @ 3750 rpm,320 Nm @ 1500 rpm,AWD,4456.0,1820.0,1995.0,7.0,60.0
168,Mahindra,Scorpio VLX 2WD Airbag BS-IV,2013,170000,Diesel,Manual,Salem,White,Third,Individual,2179 cc,120 bhp @ 4000 rpm,290 Nm @ 1800 rpm,RWD,4430.0,1817.0,1975.0,8.0,60.0
140,Maruti Suzuki,Ertiga LXI,2017,9000,Petrol,Manual,Delhi,Grey,First,Individual,1373 cc,94 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD,4296.0,1695.0,1685.0,7.0,45.0
1225,Audi,A6 3.0 TDI quattro Premium,2012,240000,Diesel,Automatic,Lucknow,White,First,Individual,2967 cc,245 bhp @ 4000 rpm,500 Nm @ 1400 rpm,AWD,4915.0,1874.0,1455.0,5.0,75.0
872,Maruti Suzuki,Alto 800 Lx CNG,2017,45000,CNG,Manual,Pune,Silver,First,Individual,796 cc,48 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395.0,1490.0,1475.0,5.0,35.0
504,Land Rover,Discovery Sport SE R-Dynamic Petrol,2021,14500,Petrol,Automatic,Delhi,White,First,Individual,1997 cc,245 bhp @ 5500 rpm,365 Nm @ 1500 rpm,AWD,4600.0,2069.0,1724.0,7.0,70.0
313,Hyundai,Creta SX Plus 1.6  Petrol,2016,47000,Petrol,Manual,Delhi,White,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
1523,Mercedes-Benz,S-Class S 350D [2018-2020],2017,11850,Diesel,Automatic,Vadodara,White,First,Individual,2925 cc,282 bhp @ 3600 rpm,600 Nm @ 1600 rpm,RWD,5246.0,1899.0,1494.0,5.0,70.0
1269,Hyundai,i20 Active 1.2 SX,2018,64300,Petrol,Manual,Pune,Brown,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1760.0,1555.0,5.0,40.0
622,Maruti Suzuki,Eeco 7 STR [2019-2020],2019,40000,Petrol,Manual,Thane,Silver,First,Individual,1196 cc,73 bhp @ 6000 rpm,101 Nm @ 3000 rpm,RWD,3675.0,1475.0,1800.0,7.0,40.0
1637,Hyundai,Xcent SX 1.1 CRDi,2018,78900,Diesel,Manual,Vadodara,Silver,First,Individual,1120 cc,71 bhp @ 4000 rpm,160 Nm @ 1500 rpm,FWD,3995.0,1660.0,1520.0,5.0,43.0
1500,Maruti Suzuki,Swift VXi,2012,30000,Petrol,Manual,Patna,Blue,First,Individual,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
1023,BMW,X5 xDrive30d Pure Experience (5 Seater),2015,84700,Diesel,Automatic,Pune,Black,Second,Individual,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD,4886.0,1938.0,1762.0,5.0,
1840,Mercedes-Benz,E-Class E 220 d Avantgarde,2019,10000,Diesel,Automatic,Chennai,White,First,Individual,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD,5063.0,1860.0,1494.0,5.0,80.0
726,Porsche,Cayenne Platinum Edition Diesel,2016,55700,Diesel,Automatic,Navi Mumbai,Silver,First,Corporate,2967 cc,241 bhp @ 3800 rpm,550 Nm @ 1750 rpm,AWD,4855.0,1939.0,1705.0,5.0,85.0
499,BMW,3-Series 320d Prestige,2019,15500,Diesel,Automatic,Delhi,Blue,First,Individual,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,4633.0,1811.0,1429.0,5.0,57.0
1150,Hyundai,i10 Sportz 1.2 AT Kappa2,2013,34000,Petrol,Automatic,Mumbai,Red,First,Individual,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585.0,1595.0,1550.0,5.0,35.0
678,BMW,5-Series 520d Luxury Line [2017-2019],2022,6000,Diesel,Automatic,Mumbai,Grey,First,Individual,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,4936.0,1868.0,1479.0,5.0,65.0
81,Mercedes-Benz,E-Class E 250 CDI Avantgarde,2015,48000,Diesel,Automatic,Mumbai,White,First,Individual,2143 cc,204 bhp @ 4200 rpm,500 Nm @ 1600 rpm,RWD,4879.0,1854.0,1474.0,5.0,80.0
1211,Maruti Suzuki,Ciaz Alpha Hybrid 1.5 [2018-2020],2019,34000,Petrol,Manual,Delhi,Blue,First,Individual,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD,4490.0,1730.0,1485.0,5.0,43.0
1231,Jaguar,XE Prestige Diesel,2017,29999,Diesel,Automatic,Bangalore,Blue,First,Individual,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,RWD,4795.0,1967.0,1416.0,5.0,56.0
446,Honda,City V,2015,49000,Petrol,Manual,Kolkata,Grey,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
335,Tata,Hexa XE 4x2 7 STR,2018,38000,Diesel,Manual,Mumbai,White,First,Individual,2179 cc,148 bhp @ 4000 rpm,320 Nm @ 1700 rpm,RWD,4788.0,1903.0,1791.0,7.0,60.0
723,Kia,Seltos HTX 1.5 [2020-2021],2020,42000,Petrol,Manual,Ahmedabad,Black,First,Individual,1497 cc,113 bhp @ 6300 rpm,144 Nm @ 4500 rpm,FWD,4315.0,1800.0,1645.0,5.0,50.0
1386,Honda,City 1.5 V MT,2012,111000,Petrol,Manual,Ernakulam,Red,First,Individual,1497 cc,116 bhp @ 6600 rpm,146 Nm @ 4800 rpm,FWD,4440.0,1695.0,1485.0,5.0,42.0
585,Honda,Amaze 1.2 S i-VTEC,2014,58600,Petrol,Manual,Pune,Red,First,Individual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3990.0,1680.0,1505.0,5.0,35.0
1165,Volkswagen,Ameo Trendline 1.5L (D),2017,69508,Diesel,Manual,Ranga Reddy,White,Second,Individual,1498 cc,109 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,3995.0,1682.0,1483.0,5.0,45.0
58,Audi,A4 35 TDI Premium,2016,57057,Diesel,Automatic,Ludhiana,White,First,Individual,1968 cc,177 bhp @ 4200 rpm,380 Nm @ 1750 rpm,FWD,4701.0,1826.0,1427.0,5.0,63.0
1767,BMW,5-Series 530d M Sport [2013-2017],2018,38000,Diesel,Automatic,Ahmedabad,Blue,First,Individual,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,RWD,4899.0,2094.0,1464.0,5.0,65.0
586,BMW,X1 sDrive20d Expedition,2017,22120,Diesel,Automatic,Delhi,White,First,Individual,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,FWD,4439.0,1821.0,1612.0,5.0,51.0
1982,Mahindra,Scorpio S10,2015,87000,Diesel,Manual,Varanasi,White,First,Individual,2179 cc,120 bhp @ 4000 rpm,280 Nm @ 1800 rpm,RWD,4456.0,1820.0,1995.0,8.0,60.0
358,Maruti Suzuki,Swift DZire VDI,2014,75000,Diesel,Manual,Ludhiana,White,Second,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995.0,1695.0,1555.0,5.0,42.0
222,Honda,Jazz V AT Petrol,2017,99000,Petrol,Automatic,Noida,Brown,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3955.0,1694.0,1544.0,5.0,40.0
1876,BMW,3-Series 320d Luxury Line,2018,68189,Diesel,Automatic,Jaipur,Brown,First,Individual,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,4633.0,1811.0,1429.0,5.0,57.0
484,Datsun,Go D,2017,42000,Petrol,Manual,Lucknow,White,First,Individual,1198 cc,67 bhp @ 5000 rpm,104 Nm @ 4000 rpm,FWD,3785.0,1635.0,1485.0,5.0,35.0
906,Maruti Suzuki,Ciaz Delta Hybrid 1.5 [2018-2020],2019,6200,Petrol,Manual,Mumbai,Blue,First,Individual,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD,4490.0,1730.0,1485.0,5.0,43.0
664,Mercedes-Benz,GLC 220d 4MATIC Progressive,2021,19000,Diesel,Automatic,Mumbai,Black,First,Individual,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,AWD,4658.0,1890.0,1644.0,5.0,66.0
1479,Honda,City SV,2019,36000,Petrol,Manual,Pune,Bronze,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
210,Honda,Amaze 1.5 S i-DTEC,2014,62500,Diesel,Manual,Varanasi,Bronze,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,3990.0,1680.0,1505.0,5.0,35.0
1949,Maruti Suzuki,Swift ZXi AMT [2018-2019],2019,11874,Petrol,Automatic,Pune,White,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3840.0,1735.0,1530.0,5.0,37.0
1945,Toyota,Fortuner 2.8 4x4 AT [2016-2020],2017,120000,Diesel,Automatic,Faridabad,White,First,Individual,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,AWD,4795.0,1855.0,1835.0,7.0,80.0
999,Toyota,Innova 2.4 VX 8 STR [2016-2020],2021,34228,Diesel,Manual,Udupi,White,First,Individual,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD,4735.0,1830.0,1795.0,8.0,55.0
572,Maruti Suzuki,Swift VDi,2015,36528,Diesel,Manual,Varanasi,Blue,Third,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
170,Ford,Ecosport Trend 1.5 Ti-VCT,2014,50000,Petrol,Manual,Delhi,White,Second,Individual,1499 cc,109 bhp @ 6300 rpm,140 Nm @ 4400 rpm,FWD,3999.0,1765.0,1708.0,5.0,52.0
752,Maruti Suzuki,Celerio ZXi AMT [2019-2020],2019,20734,Petrol,Automatic,Udupi,Silver,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3695.0,1600.0,1560.0,5.0,35.0
1337,Volvo,XC60 Inscription [2017-2020],2019,3500,Diesel,Automatic,Ludhiana,White,First,Individual,1969 cc,235 bhp @ 4250 rpm,480 Nm @ 1750 rpm,AWD,4688.0,1902.0,1658.0,5.0,71.0
760,Maruti Suzuki,DZire VDi AMT,2018,66000,Diesel,Automatic,Warangal,Red,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995.0,1735.0,1515.0,5.0,37.0
679,Mahindra,XUV500 W6 2013,2013,135000,Diesel,Manual,Varanasi,Black,First,Individual,2179 cc,140 bhp @ 3750 rpm,330 Nm @ 2800 rpm,FWD,4585.0,1890.0,1785.0,7.0,70.0
603,Kia,Seltos GTX Plus 1.4 [2020-2021],2019,17000,Petrol,Manual,Bangalore,White,First,Individual,1353 cc,138 bhp @ 6000 rpm,242 Nm @ 1500 rpm,FWD,4315.0,1800.0,1645.0,5.0,50.0
505,Maruti Suzuki,Baleno Delta 1.3,2016,62000,Diesel,Manual,Ludhiana,Blue,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
103,Skoda,Rapid Style 1.6 MPI AT,2018,55000,Petrol,Automatic,Pune,Grey,Second,Individual,1598 cc,104 bhp @ 5200 rpm,153 Nm @ 3750 rpm,FWD,4413.0,1699.0,1466.0,5.0,55.0
1487,Maruti Suzuki,Eeco 7 STR [2019-2020],2019,40310,Petrol,Manual,Pune,Grey,Second,Individual,1196 cc,73 bhp @ 6000 rpm,101 Nm @ 3000 rpm,RWD,3675.0,1475.0,1800.0,7.0,40.0
1251,Honda,Jazz V AT Petrol,2015,42000,Petrol,Automatic,Delhi,White,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3955.0,1694.0,1544.0,5.0,40.0
1486,Maruti Suzuki,Wagon R LXI CNG (O),2015,67580,CNG,Manual,Pune,White,First,Individual,998 cc,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD,3599.0,1495.0,1700.0,5.0,35.0
727,Honda,Amaze 1.5 VX CVT Diesel,2020,39000,Diesel,Automatic,Ludhiana,White,First,Individual,1498 cc,79 bhp @ 3600 rpm,160 Nm @ 1750 rpm,FWD,3995.0,1695.0,1501.0,5.0,35.0
284,Hyundai,i10 Magna,2009,23000,Petrol,Manual,Mumbai,Red,First,Individual,1086 cc,67@5500,99@2800,FWD,3565.0,1595.0,1550.0,5.0,35.0
768,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],2018,55221,Petrol,Manual,Mumbai,White,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0
198,Porsche,Macan Base [2019-2020],2019,27000,Petrol,Automatic,Hyderabad,Red,First,Corporate,1984 cc,248 bhp @ 5000 rpm,370 Nm @ 1600 rpm,AWD,4696.0,1923.0,1624.0,5.0,65.0
810,Hyundai,Creta SX 1.6 AT CRDi,2018,440000,Diesel,Automatic,Delhi,Grey,First,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD,4270.0,1780.0,1665.0,5.0,55.0
1547,Mercedes-Benz,C-Class C 200 Avantgarde,2015,31000,Petrol,Automatic,Mumbai,Blue,First,Individual,1991 cc,181 bhp @ 5500 rpm,300 Nm @ 1200 rpm,RWD,4686.0,1810.0,1442.0,5.0,66.0
994,Mercedes-Benz,C-Class C 300d AMG line,2020,28079,Diesel,Automatic,Mumbai,Blue,First,Individual,1950 cc,241 bhp @ 4200 rpm,500 Nm @ 1600 rpm,RWD,4686.0,1810.0,1442.0,5.0,66.0
905,Hyundai,Creta SX 1.6 AT Petrol,2018,30000,Petrol,Automatic,Delhi,Black,First,Individual,1591 cc,122 bhp @ 6400 rpm,151 Nm @ 4850 rpm,FWD,4270.0,1780.0,1665.0,5.0,55.0
27,Toyota,Innova 2.8 ZX AT 7 STR [2016-2020],2018,75000,Diesel,Automatic,Ahmedabad,Grey,First,Individual,2755 cc,172 bhp @ 3400 rpm,360 Nm @ 1200 rpm,RWD,4735.0,1830.0,1795.0,7.0,55.0
1872,Maruti Suzuki,Swift DZire ZDi BS-IV,2010,82202,Diesel,Manual,Jalandhar,White,Second,Individual,1248 cc,75@4000,190@2000,FWD,4160.0,1690.0,1530.0,5.0,43.0
574,Maruti Suzuki,Swift VXi [2014-2017],2019,26000,Petrol,Manual,Lucknow,Blue,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
